[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: ****5 s - in com.nexttrucking.platform.trips.receiver.UpdateJourneyReceiverTest
[INFO] Tests run: 16, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.55 s - in com.nexttrucking.platform.trips.resource.v1.BusinessEventResourceTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in com.nexttrucking.platform.trips.search.T49IndicatorHandlerTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.685 s - in com.nexttrucking.platform.trips.service.MigrationServiceTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in com.nexttrucking.platform.trips.service.impl.ChangeCutoffReceiverTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in com.nexttrucking.platform.trips.service.impl.ChangeFirstReceivingReceiverTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in com.nexttrucking.platform.trips.service.impl.ChangeFreeTimeExpiresReceiverTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in com.nexttrucking.platform.trips.service.impl.ChangeLastFreeDayReceiverTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in com.nexttrucking.platform.trips.service.impl.CommonServiceImplTest
[INFO] Tests run: 21, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: ****5 s - in com.nexttrucking.platform.trips.service.impl.ContainerDataScrapedInfoCollectorTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: ****2 s - in com.nexttrucking.platform.trips.service.impl.TrackingEventHandlerServiceImplTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: ****7 s - in com.nexttrucking.platform.trips.service.impl.TrackingEventSubscriberServiceImplTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: ****1 s - in com.nexttrucking.platform.trips.service.impl.validator.AdditionalHoldsValidatorTest
[INFO] Tests run: 54, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 31.145 s - in com.nexttrucking.platform.trips.service.impl.validator.JobEventValidatorTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in com.nexttrucking.platform.utils.DateUtilsTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.433 s - in ChassisBusinessEventResourceIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.707 s - in ChassisContainerOrderResourceIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.326 s - in ChassisOrderEventSubscriberServiceImplIT
